taxon_name,place_name,user_login,identifiers,name,name (1),id,created_at,updated_at,observed_on,observed_on_time,iconic_taxon,taxon_id,taxon_rank,latitude,longitude,obscured,quality_grade,user_id,license_obs,identifications_count,num_identification_agreements,num_identification_disagreements,kingdom,phylum,class,order,family,genus
Pentapora fascialis,la Trencada de fora,jalaball,"jalaball, xasalva",Spain,Barcelona,399203,2024-11-20 00:00:00,2024-11-20 00:00:00,2024-11-19 00:00:00,2024-11-22 10:29:00,bryozoa,252951,species,41.5282,2.44842,False,research,623,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bitectiporidae,Pentapora
Reptadeonella violacea,"Girona, España",manelor,"manelor, xasalva",Spain,Gerona,398720,2024-11-19 00:00:00,2024-11-19 00:00:00,2024-11-18 00:00:00,2024-11-22 10:14:00,bryozoa,245658,species,42.365,3.16459,False,research,1732,cc-by,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Adeonidae,Reptadeonella
Caberea boryi,"Islas Columbretes, España",albagarri,"albagarri, xasalva",,,398680,2024-11-19 00:00:00,2024-11-19 00:00:00,2024-11-18 00:00:00,2024-11-22 15:11:00,bryozoa,247874,species,39.8919,0.667154,False,needs_id,2495,cc-by,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Caberea
Margaretta cereoides,"Islas Columbretes, España",albagarri,"albagarri, xasalva, albagarri",,,398679,2024-11-19 00:00:00,2024-11-21 00:00:00,2024-11-18 00:00:00,2024-11-22 14:31:00,bryozoa,245991,species,39.8918,0.667172,False,research,2495,cc-by,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Margarettidae,Margaretta
Schizoporella errata,"Passeig Marítim, s/n, 08911 Badalona, Barcelona, España",wolfsms,"xasalva, guillermoalvarez_fecdas",Spain,Barcelona,398675,2024-11-19 00:00:00,2024-11-19 00:00:00,2024-11-17 00:00:00,2024-11-22 08:55:00,bryozoa,248503,species,41.4402,2.24898,False,research,2656,cc-by,2,2,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Schizoporella errata,"Passeig Marítim, s/n, 08911 Badalona, Barcelona, España",wolfsms,"xasalva, guillermoalvarez_fecdas",Spain,Barcelona,398674,2024-11-19 00:00:00,2024-11-19 00:00:00,2024-11-17 00:00:00,2024-11-22 08:55:00,bryozoa,248503,species,41.4402,2.24898,False,research,2656,cc-by,2,2,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Schizoporella errata,"Passeig Marítim, s/n, 08911 Badalona, Barcelona, España",wolfsms,"xasalva, guillermoalvarez_fecdas",Spain,Barcelona,398671,2024-11-19 00:00:00,2024-11-19 00:00:00,2024-11-17 00:00:00,2024-11-22 08:54:00,bryozoa,248503,species,41.4402,2.24898,False,research,2656,cc-by,2,2,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Schizoporella errata,"Passeig Marítim, s/n, 08911 Badalona, Barcelona, España",wolfsms,"xasalva, guillermoalvarez_fecdas",Spain,Barcelona,398670,2024-11-19 00:00:00,2024-11-19 00:00:00,2024-11-17 00:00:00,2024-11-22 08:53:00,bryozoa,248503,species,41.4402,2.24898,False,research,2656,cc-by,2,2,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Schizoporella errata,"Passeig Marítim, s/n, 08911 Badalona, Barcelona, España",wolfsms,"xasalva, guillermoalvarez_fecdas",Spain,Barcelona,398665,2024-11-19 00:00:00,2024-11-21 00:00:00,2024-11-17 00:00:00,2024-11-22 08:44:00,bryozoa,248503,species,41.4402,2.24898,False,research,2656,cc-by,2,2,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Schizoporella errata,"Passeig Marítim, s/n, 08911 Badalona, Barcelona, España",wolfsms,xasalva,Spain,Barcelona,398657,2024-11-19 00:00:00,2024-11-19 00:00:00,2024-11-17 00:00:00,2024-11-22 08:35:00,bryozoa,248503,species,41.4402,2.24898,False,needs_id,2656,cc-by,0,0,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Schizoporella errata,"Passeig Marítim, s/n, 08911 Badalona, Barcelona, España",wolfsms,"xasalva, guillermoalvarez_fecdas",Spain,Barcelona,398634,2024-11-19 00:00:00,2024-11-21 00:00:00,2024-11-17 00:00:00,2024-11-22 09:01:00,bryozoa,248503,species,41.4402,2.24898,False,research,2656,cc-by,2,2,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Schizoporella errata,"Passeig Marítim, s/n, 08911 Badalona, Barcelona, España",wolfsms,"xasalva, guillermoalvarez_fecdas",Spain,Barcelona,398633,2024-11-19 00:00:00,2024-11-21 00:00:00,2024-11-17 00:00:00,2024-11-22 09:00:00,bryozoa,248503,species,41.4402,2.24898,False,research,2656,cc-by,2,2,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Schizoporella errata,"Passeig Marítim, s/n, 08911 Badalona, Barcelona, España",wolfsms,"xasalva, guillermoalvarez_fecdas",Spain,Barcelona,398632,2024-11-19 00:00:00,2024-11-21 00:00:00,2024-11-17 00:00:00,2024-11-22 08:58:00,bryozoa,248503,species,41.4402,2.24898,False,research,2656,cc-by,2,2,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Schizoporella dunkeri,"Punta Cap-Ras, 17496, España",manelor,"manelor, xasalva",Spain,Gerona,398519,2024-11-18 00:00:00,2024-11-18 00:00:00,2024-11-17 00:00:00,2024-11-22 11:21:00,bryozoa,248502,species,42.3854,3.1636,False,research,1732,cc-by,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Watersipora subatra,Spain,marhumet,"marhumet, xasalva",Spain,Pontevedra,398484,2024-11-18 00:00:00,2024-11-18 00:00:00,2024-11-18 00:00:00,2024-11-22 09:17:00,bryozoa,253695,species,42.2821,-8.66284,False,research,581,C,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora
Myriapora truncata,"Punta Cap-Ras, 17496, España",manelor,"manelor, xasalva",Spain,Gerona,398437,2024-11-18 00:00:00,2024-11-18 00:00:00,2024-11-17 00:00:00,2024-11-22 11:00:00,bryozoa,34982,species,42.3844,3.16343,False,research,1732,cc-by,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Myriapora truncata,"Punta Cap-Ras, 17496, España",manelor,"manelor, xasalva",Spain,Gerona,398426,2024-11-18 00:00:00,2024-11-18 00:00:00,2024-11-17 00:00:00,2024-11-22 10:47:00,bryozoa,34982,species,42.3851,3.16162,False,research,1732,cc-by,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Schizobrachiella sanguinea,Punta Romaní,xasalva,"xasalva, badosa",Spain,Gerona,398348,2024-11-18 00:00:00,2024-11-19 00:00:00,2024-11-17 00:00:00,2024-11-22 08:57:00,bryozoa,248476,species,42.1147,3.16842,False,research,4,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizobrachiella
Bugulina,Punta Romaní,xasalva,"xasalva, badosa",Spain,Gerona,398339,2024-11-18 00:00:00,2024-11-19 00:00:00,2024-11-17 00:00:00,2024-11-22 08:53:00,bryozoa,93686,genus,42.1147,3.16842,False,needs_id,4,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,
Reptadeonella violacea,"La Trencada   1 Mataró, Barcelona, España",guillermoalvarez_fecdas,"guillermoalvarez_fecdas, xasalva",Spain,Barcelona,398279,2024-11-18 00:00:00,2024-11-18 00:00:00,2024-11-17 00:00:00,2024-11-22 08:43:00,bryozoa,245658,species,41.5253,2.45195,False,research,16,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Adeonidae,Reptadeonella
Bryozoa,"La Trencada   1 Mataró, Barcelona, España",guillermoalvarez_fecdas,"guillermoalvarez_fecdas, xasalva",Spain,Barcelona,398278,2024-11-18 00:00:00,2024-11-18 00:00:00,2024-11-17 00:00:00,2024-11-22 08:43:00,bryozoa,55,phylum,41.5253,2.45195,False,needs_id,16,cc-by-nc,2,2,0,Animalia,,,,,
Myriapora truncata,"La Trencada   1 Mataró, Barcelona, España",guillermoalvarez_fecdas,"guillermoalvarez_fecdas, xasalva",Spain,Barcelona,398261,2024-11-18 00:00:00,2024-11-18 00:00:00,2024-11-17 00:00:00,2024-11-22 08:34:00,bryozoa,34982,species,41.5253,2.45195,False,research,16,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Bugulina,"Roses, Girona, España",manelor,"badosa, xasalva",Spain,Gerona,397949,2024-11-17 00:00:00,2024-11-18 00:00:00,2024-11-16 00:00:00,2024-11-22 10:00:00,bryozoa,93686,genus,42.247,3.24194,False,research,1732,cc-by,2,2,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,
Reptadeonella violacea,"Roses, Girona, España",manelor,"manelor, xasalva",Spain,Gerona,397948,2024-11-17 00:00:00,2024-11-18 00:00:00,2024-11-16 00:00:00,2024-11-22 10:00:00,bryozoa,245658,species,42.2477,3.24435,False,research,1732,cc-by,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Adeonidae,Reptadeonella
Myriapora truncata,"La Trencada   1 Mataró, Barcelona, España",guillermoalvarez_fecdas,"guillermoalvarez_fecdas, badosa",Spain,Barcelona,397925,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-22 08:22:00,bryozoa,34982,species,41.5253,2.45195,False,research,16,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Watersipora subatra,,marhumet,"marhumet, xasalva",Spain,La Coruña,397891,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-22 08:11:00,bryozoa,253695,species,42.9047,-9.26038,False,research,581,C,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora
Pentapora fascialis,"Passeig del Callao, s/n, 08301 Mataró, Barcelona, España",oscarcg31,"oscarcg31, xasalva",Spain,Barcelona,397877,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-22 08:49:00,bryozoa,252951,species,41.528,2.49012,False,research,59,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bitectiporidae,Pentapora
Myriapora truncata,"Passeig del Callao, s/n, 08301 Mataró, Barcelona, España",oscarcg31,"oscarcg31, xasalva",Spain,Barcelona,397870,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-22 08:37:00,bryozoa,34982,species,41.528,2.49012,False,research,59,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Aetea,"Punta Cap-Ras, 17496, España",manelor,"xasalva, manelor",Spain,Gerona,397821,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-15 00:00:00,2024-11-22 10:47:00,bryozoa,54759,genus,42.3829,3.15939,False,needs_id,1732,cc-by,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Aeteidae,
Myriapora truncata,Spain,badosa,"badosa, xasalva",Spain,Gerona,397730,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-22 09:26:00,bryozoa,34982,species,42.1149,3.16856,False,research,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Schizoporella dunkeri,"Punta Cap-Ras, 17496, España",manelor,"xasalva, manelor",Spain,Gerona,397685,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-15 00:00:00,2024-11-22 10:13:00,bryozoa,248502,species,42.3848,3.16051,False,research,1732,cc-by,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Schizoporella errata,"Barcelona, Spain",andreu,"xasalva, badosa",Spain,Barcelona,397619,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-22 09:28:00,bryozoa,248503,species,41.4408,2.2478,False,research,998,C,2,2,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Schizoporellidae,"Barcelona, Spain",andreu,xasalva,Spain,Barcelona,397616,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-17 00:00:00,2024-11-22 09:27:00,bryozoa,3396,family,41.4408,2.2478,False,needs_id,998,C,0,0,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,,
Bugulina,"Carall Bernat, Espanya",nunipontes,"nunipontes, xasalva, badosa, mpontes",Spain,Gerona,397558,2024-11-16 00:00:00,2024-11-20 00:00:00,2024-11-03 00:00:00,2024-11-22 10:14:00,bryozoa,93686,genus,42.0416,3.22875,False,needs_id,7248,cc-by,3,3,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,
Bryozoa,"Carall Bernat, Espanya",nunipontes,"xasalva, mpontes",Spain,Gerona,397539,2024-11-16 00:00:00,2024-11-20 00:00:00,2024-11-03 00:00:00,2024-11-22 09:40:00,bryozoa,55,phylum,42.0416,3.22875,False,needs_id,7248,cc-by,2,2,0,Animalia,,,,,
Patinella radiata,Cala Aiguafreda - Begur,guillermoalvarez_fecdas,"guillermoalvarez_fecdas, xasalva",Spain,Gerona,397291,2024-11-16 00:00:00,2024-11-17 00:00:00,2024-11-15 00:00:00,2024-11-22 08:51:00,bryozoa,252877,species,41.964,3.22849,False,research,16,cc-by-nc,1,1,0,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Lichenoporidae,Patinella
Myriapora truncata,"Platja Mar Menuda, Av. Mar Menuda, 2, 17320 Tossa de Mar, Girona, Espanya",miquel17300,"miquel17300, xasalva",Spain,Gerona,397115,2024-11-16 00:00:00,2024-11-16 00:00:00,2024-11-16 00:00:00,2024-11-22 08:32:00,bryozoa,34982,species,41.7216,2.93991,False,research,275,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Myriapora truncata,"Platja Mar Menuda, Av. Mar Menuda, 2, 17320 Tossa de Mar, Girona, Espanya",miquel17300,"miquel17300, xasalva",Spain,Gerona,397108,2024-11-16 00:00:00,2024-11-16 00:00:00,2024-11-16 00:00:00,2024-11-22 08:32:00,bryozoa,34982,species,41.7216,2.93991,False,research,275,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Bryozoa,"Girona, España",badosa,"badosa, xasalva",Spain,Gerona,396444,2024-11-14 00:00:00,2024-11-15 00:00:00,2017-08-19 00:00:00,2024-11-22 07:43:00,bryozoa,55,phylum,41.731,2.94963,False,needs_id,72,cc-by-nc,1,1,0,Animalia,,,,,
Disporella,"Girona, España",badosa,"badosa, xasalva, badosa",Spain,Gerona,396391,2024-11-14 00:00:00,2024-11-15 00:00:00,2017-07-13 00:00:00,2024-11-22 10:31:00,bryozoa,19101,genus,41.731,2.94959,False,needs_id,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Lichenoporidae,
Bryozoa,,badosa,"badosa, xasalva",Spain,Gerona,396380,2024-11-14 00:00:00,2024-11-15 00:00:00,2017-07-13 00:00:00,2024-11-22 09:59:00,bryozoa,55,phylum,41.731,2.94958,False,needs_id,72,cc-by-nc,1,1,0,Animalia,,,,,
Caberea boryi,,badosa,"badosa, xasalva",Spain,Gerona,396261,2024-11-14 00:00:00,2024-11-15 00:00:00,2017-04-18 00:00:00,2024-11-22 08:33:00,bryozoa,247874,species,41.7309,2.94894,False,needs_id,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Caberea
Electra posidoniae,"N-II, Km 651.5, 08392, Barcelona, España",badosa,"badosa, bertinhaco",Spain,Barcelona,396244,2024-11-14 00:00:00,2024-11-14 00:00:00,2017-04-23 00:00:00,2024-11-22 15:23:00,bryozoa,245637,species,41.5513,2.49286,False,research,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra
Amathia verticillata,"N-II, Km 651.5, 08392, Barcelona, España",badosa,"badosa, xasalva",Spain,Barcelona,396187,2024-11-14 00:00:00,2024-11-14 00:00:00,2016-10-08 00:00:00,2024-11-22 08:01:00,bryozoa,244238,species,41.5514,2.49224,False,research,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia
Amathia verticillata,"N-II, Km 651.5, 08392, Barcelona, España",badosa,"badosa, xasalva",Spain,Barcelona,396097,2024-11-14 00:00:00,2024-11-14 00:00:00,2016-07-25 00:00:00,2024-11-22 09:16:00,bryozoa,244238,species,41.5512,2.49193,False,research,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia
Reteporella grimaldii,"Tasco Petit Islas Medas, Girona, España",guillermoalvarez_fecdas,"guillermoalvarez_fecdas, xasalva",Spain,Gerona,395828,2024-11-14 00:00:00,2024-11-14 00:00:00,2024-07-29 00:00:00,2024-11-22 06:39:00,bryozoa,245741,species,42.0439,3.22294,False,research,16,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Phidoloporidae,Reteporella
Electra posidoniae,Spain,badosa,"badosa, guillermoalvarez_fecdas, xasalva, badosa",Spain,Gerona,395742,2024-11-13 00:00:00,2024-11-13 00:00:00,2019-09-08 00:00:00,2024-11-22 11:12:00,bryozoa,245637,species,42.385,3.16001,False,research,72,cc-by-nc,2,2,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra
Myriapora truncata,cala rostella,badosa,"badosa, guillermoalvarez_fecdas",Spain,Gerona,395523,2024-11-13 00:00:00,2024-11-13 00:00:00,2017-09-10 00:00:00,2024-11-22 14:02:00,bryozoa,34982,species,42.2437,3.22775,False,research,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Myriapora truncata,cala rostella,badosa,"badosa, xasalva",Spain,Gerona,395508,2024-11-13 00:00:00,2024-11-13 00:00:00,2017-09-10 00:00:00,2024-11-22 12:02:00,bryozoa,34982,species,42.2436,3.22839,False,research,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Myriapora truncata,"Norfeu-1, Cap de Norfeu, Roses, Girona",mpontes,"mpontes, xasalva",Spain,Gerona,395245,2024-11-12 00:00:00,2024-11-12 00:00:00,2024-08-18 00:00:00,2024-11-22 09:22:00,bryozoa,34982,species,42.2369,3.26172,False,research,732,cc-by-nc-sa,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Pentapora fascialis,"Norfeu-1, Cap de Norfeu, Roses, Girona",mpontes,"mpontes, xasalva",Spain,Gerona,395239,2024-11-12 00:00:00,2024-11-12 00:00:00,2024-08-18 00:00:00,2024-11-22 09:21:00,bryozoa,252951,species,42.2369,3.26172,False,research,732,cc-by-nc-sa,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bitectiporidae,Pentapora
Myriapora truncata,"Norfeu-1, Cap de Norfeu, Roses, Girona",mpontes,"mpontes, xasalva",Spain,Gerona,395227,2024-11-12 00:00:00,2024-11-12 00:00:00,2024-08-18 00:00:00,2024-11-22 09:12:00,bryozoa,34982,species,42.2369,3.26172,False,research,732,cc-by-nc-sa,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Myriapora truncata,"Girona, España",badosa,"badosa, xasalva",Spain,Gerona,395084,2024-11-12 00:00:00,2024-11-12 00:00:00,2017-01-04 00:00:00,2024-11-22 10:12:00,bryozoa,34982,species,42.2437,3.22813,False,research,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Myriapora truncata,,gregoribdn,"gregoribdn, badosa",Spain,Barcelona,395031,2024-11-12 00:00:00,2024-11-12 00:00:00,2024-11-10 00:00:00,2024-11-22 11:02:00,bryozoa,34982,species,41.5248,2.48271,False,research,147,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Schizoporella errata,,gregoribdn,"gregoribdn, xasalva",Spain,Barcelona,395023,2024-11-12 00:00:00,2024-11-12 00:00:00,2024-11-10 00:00:00,2024-11-22 09:14:00,bryozoa,248503,species,41.5588,2.55307,False,research,147,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Schizoporellidae,Schizoporella
Pentapora fascialis,,gregoribdn,"gregoribdn, xasalva",Spain,Barcelona,395010,2024-11-12 00:00:00,2024-11-12 00:00:00,2024-11-10 00:00:00,2024-11-22 08:49:00,bryozoa,252951,species,41.5588,2.55307,False,research,147,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bitectiporidae,Pentapora
Porella,"Barcelona, España",vicent,vicent,Spain,Barcelona,394997,2024-11-12 00:00:00,2024-11-12 00:00:00,2024-11-12 00:00:00,2024-11-22 12:20:00,bryozoa,8687,genus,41.3629,1.97374,False,needs_id,64,cc-by-nc,0,0,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bryocryptellidae,
Myriapora truncata,,badosa,"badosa, xasalva",Spain,Gerona,394974,2024-11-12 00:00:00,2024-11-12 00:00:00,2016-09-18 00:00:00,2024-11-22 09:22:00,bryozoa,34982,species,41.6837,2.81624,False,research,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Myriapora truncata,,badosa,"badosa, xasalva",Spain,Gerona,394722,2024-11-12 00:00:00,2024-11-12 00:00:00,2017-07-14 00:00:00,2024-11-22 08:44:00,bryozoa,34982,species,41.6733,2.80345,False,research,72,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Myriaporidae,Myriapora
Watersipora,Le Ponton,xasalva,"xasalva, loreto_rodriguez",France,Hérault,394351,2024-11-11 00:00:00,2024-11-11 00:00:00,2024-11-02 00:00:00,?,bryozoa,94596,genus,43.4247,3.70004,False,research,4,cc-by-nc,1,1,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,
Electra posidoniae,"43860 San Jorge de Alfama, Tarragona, España",bertinhaco,"bertinhaco, xasalva, rickydiving",Spain,Tarragona,394237,2024-11-11 00:00:00,2024-11-11 00:00:00,2024-11-09 00:00:00,2024-11-22 09:42:00,bryozoa,245637,species,40.9095,0.830663,False,research,51,cc-by-nc,2,2,0,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Electra
